127.0.0.1 - - [31/Mar/2022:13:51:43 +0530] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [31/Mar/2022:13:51:44 +0530] "GET /jsps/LoginF.jsp HTTP/1.1" 200 852
0:0:0:0:0:0:0:1 - - [31/Mar/2022:13:52:08 +0530] "POST /jsps/LoginCtl HTTP/1.1" 200 933
0:0:0:0:0:0:0:1 - - [31/Mar/2022:13:52:37 +0530] "POST /jsps/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [31/Mar/2022:13:52:38 +0530] "GET /jsps/WelcomeView.jsp HTTP/1.1" 200 2085
0:0:0:0:0:0:0:1 - - [31/Mar/2022:13:52:55 +0530] "GET /jsps/AboutUs.jsp HTTP/1.1" 200 1810
0:0:0:0:0:0:0:1 - - [31/Mar/2022:13:52:58 +0530] "GET /jsps/ HTTP/1.1" 200 259
0:0:0:0:0:0:0:1 - - [31/Mar/2022:13:53:12 +0530] "GET /jsps/LoginF.jsp HTTP/1.1" 200 852
0:0:0:0:0:0:0:1 - - [31/Mar/2022:13:53:31 +0530] "POST /jsps/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [31/Mar/2022:13:53:31 +0530] "GET /jsps/WelcomeView.jsp HTTP/1.1" 200 2085
0:0:0:0:0:0:0:1 - - [31/Mar/2022:13:53:37 +0530] "GET /jsps/Logout.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [31/Mar/2022:13:53:37 +0530] "GET /jsps/LoginF.jsp HTTP/1.1" 200 852
0:0:0:0:0:0:0:1 - - [31/Mar/2022:13:54:12 +0530] "POST /jsps/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [31/Mar/2022:13:54:12 +0530] "GET /jsps/WelcomeView.jsp HTTP/1.1" 200 2085
0:0:0:0:0:0:0:1 - - [31/Mar/2022:13:55:02 +0530] "GET /jsps/WelcomeView.jsp HTTP/1.1" 200 2085
0:0:0:0:0:0:0:1 - - [31/Mar/2022:13:55:26 +0530] "GET /jsps/WelcomeView.jsp HTTP/1.1" 200 2085
0:0:0:0:0:0:0:1 - - [31/Mar/2022:13:56:30 +0530] "GET /jsps/WelcomeView.jsp HTTP/1.1" 200 2085
0:0:0:0:0:0:0:1 - - [31/Mar/2022:14:00:20 +0530] "GET /jsps/LoginF.jsp HTTP/1.1" 200 852
0:0:0:0:0:0:0:1 - - [31/Mar/2022:14:04:01 +0530] "GET /jsps/WelcomeView.jsp HTTP/1.1" 200 2076
0:0:0:0:0:0:0:1 - - [31/Mar/2022:14:04:45 +0530] "GET /jsps/WelcomeView.jsp HTTP/1.1" 200 2080
0:0:0:0:0:0:0:1 - - [31/Mar/2022:14:05:27 +0530] "GET /jsps/WelcomeView.jsp HTTP/1.1" 200 2085
0:0:0:0:0:0:0:1 - - [31/Mar/2022:14:10:01 +0530] "GET /jsps/WelcomeView.jsp HTTP/1.1" 200 2065
